cusip	year	pstar	z0	pricef	divf	rnda	adva	fyr	ardsic	exityr	inva	cfa	debta	sales	netcap	earnsh	nyseamex	h0	h1	vala	oneper	sharef
800	1969	20.37548	199.05284	32.66667	1.2	0.00571	0.00389	12	27	1983	0.10036	0.15138	0.38	320.19995	432.43213	3.9	1	49.72082	36.07314	0.6392	-0.14313	8461.5
800	1970	23.57024	223.32757	30.41667	1.6	0.00503	0.00352	12	27	1983	0.10583	0.12085	0.41411	333.71777	488.22363	3.3	1	53.51015	36.96156	0.52463	0.06495	8421
800	1971	26.09211	237.34759	34.33333	1.6	0.00436	0.00291	12	27	1983	0.07166	0.10358	0.41483	332.70386	530.38647	2.82	1	54.7737	35.65173	0.54346	-0.11793	8395.5
800	1972	27.23356	234.10437	31.75	1.6	0.00448	0.00309	12	27	1983	0.05296	0.10439	0.35488	343.67896	573.09351	3.4	1	52.25176	32.04441	0.46512	0.13418	8395.5
800	1973	26.60924	210.39776	38.58333	1.6	0.00465	0.00266	12	27	1983	0.08907	0.1044	0.32166	436.146	664.47363	4.6	1	44.97321	27.15046	0.48828	-0.45961	8409
800	1974	27.43908	199.60155	22	1.66667	0.00424	0.00216	12	27	1983	0.09168	0.10029	0.34268	535.09692	772.00635	5.07	1	41.04197	23.60023	0.24057	0.09865	8442
800	1975	29.33675	194.56211	25.66667	1.73333	0.00373	0.00209	12	27	1983	0.05009	0.10499	0.32105	571.56494	867.88159	5.35	1	38.79783	20.75481	0.25286	0.28194	8550
800	1976	33.53572	200.50896	35.125	1.7667	0.00382	0.00233	12	27	1983	0.06392	0.10008	0.27926	639.90283	991.05737	3.92	1	39.84019	18.88186	0.30746	-0.06317	8675
800	1977	34.09153	178.84711	34.5	1.95	0.00352	0.00248	12	27	1983	0.06209	0.09517	0.26604	713.0188	1096.1248	4.12	1	34.97024	14.97946	0.27474	-0.15863	8729
800	1978	34.92436	156.58864	30.75	2.075	0.00368	0.00218	12	27	1983	0.07074	0.09186	0.26113	824.94482	1276.2451	4.72	1	30.62348	11.48845	0.21051	0.01412	8737
800	1979	36.11241	132.6868	34.25	2.205	0.00352	0.00215	12	27	1983	0.06173	0.08494	0.24621	991.70483	1429.8242	5.44	1	25.91606	8.44612	0.21221	0.19429	8859
800	1980	37.31848	105.55301	46	2.435	0.00395	0.00199	12	27	1983	0.07924	0.085	0.254	1044.6409	1660.9146	5.02	1	21.26068	5.74161	0.24951	-0.21346	9009
800	1981	41.03348	79.7724	40.875	2.695	0.00455	0.00218	12	27	1983	0.05355	0.07346	0.25214	939.09497	1808.9858	5.23	1	17.92791	3.56957	0.20688	-0.27776	9156
800	1982	49.1102	49.1102	32.75	2.76	0.00388	0.0019	12	27	1983	0.05567	0.05952	0.27711	785.2229	1974.6487	3.74	1	19.94339	1.73565	0.13628	0.37103	8217
800	1983	54.85	0	50	1.74	0.00358	0.00168	12	27	1983	0.02382	0.03168	0.26979	576.63281	1896.3398	0.22	1	16.79115	0	0.22048	.	8362
886	1979	3.87146	46.45754	2.79834	0	0.14391	0.01804	10	25	1991	0.23125	0.54647	0.30293	40.021	17.18488	2.54	0	25.91606	25.91606	1.56918	0.49034	9636.5322
886	1980	3.67925	40.47179	4.93827	0	0.1337	0.01184	10	25	1991	0.3459	0.41029	0.24051	55.89999	28.72832	1.78	0	21.26068	21.26068	2.20688	-0.46854	12838.5
886	1981	3.6871	36.87105	3.16049	0	0.13354	0	10	25	1991	0.14674	0.35782	0.18438	61.5	36.59642	1.4	0	17.92791	17.92791	1.10874	0.44189	12838.5
886	1982	5.86461	52.78149	5.48148	0	0.12551	0	10	25	1991	0.19606	0.34393	0.2132	81.65399	48.27657	1.17	0	19.94339	19.94339	1.45734	0.02028	12835.125
886	1983	6.27286	50.18287	6.44444	0	0.11823	0.01908	10	25	1991	0.15108	0.42551	0.18698	76.342	44.17575	0.06	0	16.79115	16.79115	1.88013	-0.28995	12888
886	1984	7.58161	53.07127	5.33333	0	0.16221	0.02496	10	25	1991	0.1682	0.42882	0.38569	87.59499	47.59781	0.65	0	15.04621	15.04621	1.44738	0.38636	12917.25
886	1985	10.28985	61.73909	8.55556	0	0.25122	0.03665	10	25	1991	0.18097	0.68958	0.3299	124.883	47.14581	1.37	0	14.24249	14.24249	2.3392	0.38535	12890.25
886	1986	13.1486	65.743	13.5	0	0.28572	0.03871	10	25	1991	0.24507	0.91834	0.10322	143.67699	45.43532	1.39	0	12.41634	12.41634	3.83782	0.05649	12916.5
886	1987	14.14446	56.57784	16	0	0.29338	0.03371	10	25	1991	0.21791	0.93207	0.08036	166.86299	52.7408	1.18	0	9.06488	9.06488	3.9332	-0.36025	12965
886	1988	15.82156	47.46468	11.625	0	0.29863	0.03467	10	25	1991	0.23517	0.89146	0.0648	179.85199	58.2686	1.3	0	6.25974	6.25974	2.61434	0.14489	13104
886	1989	18.58008	37.16016	15.375	0	0.24634	0.02905	10	25	1991	0.22573	0.73108	0.08462	196.38799	70.4722	1.25	0	3.92211	3.92211	2.88379	-0.07014	13218
886	1990	21.26936	21.26936	16.375	0	0.30578	0.03413	10	25	1991	0.18396	0.92968	0.06821	259.80176	83.26935	1.73	0	1.74518	1.74518	2.6133	0.29889	13289
886	1991	24.375	0	24.375	0	0.31287	0.0353	10	25	1991	0.26222	0.84379	0.54233	293.83887	103.28726	1.65	0	0	0	3.16914	.	13429
1015	1976	5.22143	49.04184	2.27273	0.12121	0.02713	0.0685	10	21	1987	0.16337	0.29219	0.19401	18.13199	6.59847	0.52	0	39.84019	30.37912	0.69277	0.16157	2011.35
1015	1977	5.38748	45.97877	2.80303	0.12121	0.02672	0.06967	10	21	1987	0.034	0.42937	0.13773	23.653	7.14772	1.02	0	34.97024	25.9176	0.77841	0.39482	1984.95
1015	1978	5.49098	43.02989	4.16667	0.25455	0.01543	0.05292	10	21	1987	0.02308	0.34075	0.39985	30.657	13.73721	1.56	0	30.62348	21.88647	0.61507	0.81099	2027.85
1015	1979	5.43503	38.81957	8.5	0.32121	0.02036	0.07069	10	21	1987	0.04596	0.37215	0.32103	45.85899	16.21132	1.68	0	25.91606	17.99767	1.07198	-0.39227	2044.5
1015	1980	5.28902	34.24143	5.75	0.36667	0.02585	0.07416	10	21	1987	0.0232	0.26508	0.28459	40.59	14.69758	1.04	0	21.26068	14.31726	0.7576	-0.25143	1936.5
1015	1981	5.50694	31.36201	4.91667	0.26667	0.04349	0.09455	10	21	1987	0.05286	0.2594	0.32609	42.02199	15.58977	0.91	0	17.92791	11.55906	0.52037	-0.39973	1650
1015	1982	7.63107	36.66313	3.41667	0.13333	0.05545	0.05958	10	21	1987	0.19472	0.07717	0.5033	39.66199	21.04565	-0.31	0	19.94339	10.97896	0.26714	0.71025	1645.5
1015	1983	8.52098	32.63477	6.66667	0.06667	0.05416	0.04463	10	21	1987	0.09486	0.17963	0.4724	44.05299	21.39944	0.74	0	16.79115	8.25142	0.51216	0.61599	1644
1015	1984	9.96252	29.09898	12.25	0.30667	0.07241	0.05401	10	21	1987	0.05714	0.36044	0.45714	60.99399	21.40451	1.34	0	15.04621	6.05664	0.94259	-0.32485	1647
1015	1985	11.96465	23.64835	9.25	0.32	0.11651	0.0545	10	21	1987	0.04877	0.23717	0.45064	59.45799	19.72437	0.25	0	14.24249	3.94455	0.77613	0.00325	1655
1015	1986	13.58509	13.58509	10.25	0.32	0.09169	0.04943	10	21	1987	0.05333	0.30218	0.39241	64.50499	17.96306	0.6	0	12.41634	1.78282	0.9438	-0.28339	1654
1015	1987	15	0	8	0.24	0.0716	0.05805	10	21	1987	0.12129	0.14233	0.29322	65.89899	20.58649	-1.41	0	9.06488	0	0.64275	.	1654
1030	1972	0.66201	11.91612	1.25978	0	0.06569	0.02687	2	29	1990	0.15898	-0.00175	0.62046	23.66499	16.56146	-0.98	0	52.25176	50.19443	0.26662	-0.35478	3505.0878
1030	1973	0.60914	10.35531	0.90704	0	0.04254	0.01502	2	29	1990	0.16262	0.10339	0.52394	33.96899	21.5108	0.74	0	44.97321	43.22183	0.1479	-0.65739	3507.5684
1030	1974	0.63169	10.107	0.35274	0	0.0361	0.01511	2	29	1990	0.105	0.07936	0.613	35.168	16.34351	0.06	0	41.04197	39.34181	0.07581	1.20529	3512.5296
1030	1975	0.70006	10.50096	0.88184	0	0.01764	0.01351	2	29	1990	0.04006	0.08975	0.56631	30.437	16.50092	0.24	0	38.79783	37.02633	0.18772	0.4525	3512.5296
1030	1976	0.88952	12.45334	1.43614	0	0.02064	0.00857	2	29	1990	0.09213	0.12865	0.47173	35.28099	19.96086	0.53	0	39.84019	37.6907	0.25272	0.37793	3512.5296
1030	1977	0.91607	11.9089	2.19201	0	0.02999	0.01127	2	29	1990	0.13567	0.14637	0.56782	50.20999	26.43967	1.05	0	34.97024	32.91612	0.29121	0.00322	3512.5296
1030	1978	0.9562	11.47442	2.48677	0	0.02752	0.01145	2	29	1990	0.16206	0.18761	0.58567	60.04199	31.97636	1.11	0	30.62348	28.63862	0.28166	0.54794	3621.7125
1030	1979	0.94725	10.41976	4.5	0	0.02068	0.00786	2	29	1990	0.17429	0.0349	0.514	58.987	45.16098	-0.09	0	25.91606	24.13728	0.36118	0.16774	3624.75
1030	1980	0.91684	9.16842	6.22222	0	0.00628	0	2	29	1990	0.14632	0.03209	0.54543	54.46899	52.22853	-2.07	0	21.26068	19.72888	0.44336	-0.36978	3721.5
1030	1981	0.93625	8.42621	4.72222	0	0.01028	0	2	29	1990	0.17356	-0.02193	0.60154	54.224	55.94186	-2.89	0	17.92791	16.54673	0.33447	0.80943	3962.25
1030	1982	1.44802	11.58414	10.27778	0	0.00806	0	2	29	1990	0.06026	0.10148	0.14933	53.81499	41.45584	-0.87	0	19.94339	17.87292	0.96448	0.0883	3890.25
1030	1983	1.56702	10.96912	12.88889	0	0.02473	0	2	29	1990	0.07199	0.21969	0.14047	64.20799	32.1412	2.77	0	16.79115	14.8139	1.64754	0.1982	4108.5
1030	1984	1.89187	11.35125	18	0	0.02251	0	2	29	1990	0.10428	0.17552	0.24566	83.77899	39.7666	13.95	0	15.04621	12.90653	1.96695	-0.27981	4345.5
1030	1985	2.54224	12.71119	15	0	0.04668	0	2	29	1990	0.19188	0.22521	0.28885	104.909	44.55815	1.01	0	14.24249	11.65695	1.4058	-0.2391	4176
1030	1986	3.15218	12.60871	13	0	0.03477	0	2	29	1990	0.15774	0.20558	0.22954	108.38199	48.23003	0.74	0	12.41634	9.48228	1.05714	-0.34001	3922
1030	1987	3.42371	10.27112	9.625	0	0.01255	0	2	29	1990	0.17749	0.15122	0.3315	119.63699	52.75671	0.51	0	9.06488	6.42672	0.66007	-0.26814	3618
1030	1988	3.84262	7.68524	8	0	0.03164	0	2	29	1990	0.16758	0.01136	0.72851	136.99699	62.32912	-0.5	0	6.25974	3.86477	0.44615	-0.43192	3476
1030	1989	4.47449	4.47449	5.25	0	0.03486	0	2	29	1990	0.13834	-0.0183	0.68057	121.159	68.31107	-2.31	0	3.92211	1.74614	0.26576	-0.14772	3458
1030	1990	5.125	0	5.125	0	0.02408	0	2	29	1990	0.16168	0.1579	0.67593	144.258	66.73126	0.66	0	1.74518	0	0.26465	.	3446
1031	1986	6.94516	34.72579	5	0	0.00975	0	10	11	1991	0.14132	0.31813	0	62.39499	23.08194	0.96	0	12.41634	12.41634	0.97674	-0.12345	4509
1031	1987	7.47118	29.88471	4.91667	0	0.0088	0	10	11	1991	0.14425	0.31672	0	69.98099	26.9388	1.08	0	9.06488	9.06488	0.82322	0.25362	4510.5
1031	1988	8.35703	25.07109	7	0	0.00792	0	10	11	1991	0.20165	0.31399	0.08707	100.65999	30.54265	1.35	0	6.25974	6.25974	1.03856	0.77251	4531.5
1031	1989	9.81409	19.62819	14.33333	0	0.00684	0	10	11	1991	0.24586	0.31959	0.57753	120.959	38.31439	1.73	0	3.92211	3.92211	1.76986	-0.53174	4731
1031	1990	11.23458	11.23458	7.6875	0	0.00521	0	10	11	1991	0.35051	0.17337	0.35105	119.267	56.0204	0.81	0	1.74518	1.74518	0.65526	0.46141	4775
1031	1991	12.875	0	12.875	0	0.00577	0	10	11	1991	0.18043	0.17778	0.37917	133.448	62.02536	0.73	0	0	0	0.99969	.	4816
1054	1972	7.52361	97.80696	8.292	0	0.00164	0.00312	12	12	1985	0.18963	0.13146	0.53606	60.65799	76.91103	1.11	1	52.25176	37.88316	0.48613	-0.66677	4509
1054	1973	7.37572	88.50863	3.08333	0	0.00283	0	12	12	1985	0.08222	0.08548	0.6103	67.28299	84.77538	0.91	1	44.97321	32.42116	0.164	-0.82142	4509
1054	1974	7.88183	86.70015	0.625	0	0.00264	0	12	12	1985	0.03384	-0.00911	0.58154	56.778	86.32301	-3.37	1	41.04197	28.77474	0.03265	0.05855	4509
1054	1975	8.84842	88.4842	0.75	0	0.00167	0	12	12	1985	0.01396	-0.01882	0.5577	47.00499	87.86813	-2.11	1	38.79783	26.0641	0.03849	0.73421	4509
1054	1976	10.89735	98.07617	1.45833	0	0.00169	0	12	12	1985	0.03136	0.08042	0.56232	61.57899	96.27014	0.87	1	39.84019	24.83403	0.0683	-0.04563	4509
1054	1977	11.53306	92.26451	1.54167	0	0.00222	0	12	12	1985	0.04473	0.05478	0.57704	69.80699	98.15585	0.02	1	34.97024	20.62061	0.07082	0.81641	4509
1054	1978	12.31925	86.23473	3.16667	0	0.00061	0	12	12	1985	0.02567	0.09488	0.73015	76.39799	127.65538	0.34	1	30.62348	16.81138	0.11185	-0.32467	4509
1054	1979	13.03245	78.19468	2.5	0	0.00148	0.00042	12	12	1985	0.04392	0.11482	0.64846	110.00099	124.55388	0.67	1	25.91606	13.33125	0.1748	-0.11325	8709
1054	1980	13.73927	68.69634	2.625	0	0.00398	0.00087	12	12	1985	0.09975	0.10193	0.7094	101.196	109.59242	0.58	1	21.26068	10.10937	0.2704	1.21443	11289
1054	1981	15.43332	61.73328	7	0	0.00646	0.00125	12	12	1985	0.30867	0.14371	0.67217	153.66599	157.08662	1.48	1	17.92791	7.63375	0.50325	0.89035	11293.5
1054	1982	20.8984	62.69521	15.91667	0	0.01039	0.00104	12	12	1985	0.09386	0.18017	0.59658	182.478	165.11632	1.61	1	19.94339	6.14922	1.19739	0.03594	12421.5
1054	1983	23.97533	47.95066	19	0	0.00629	0.0015	12	12	1985	0.27229	0.16583	0.48536	213.65199	218.50618	1.43	1	16.79115	3.76056	1.08501	-0.1646	12478
1054	1984	28.554	28.554	18.5	0	0.00897	0	12	12	1985	0.1993	0.23041	0.4066	281.8689	232.78906	2.36	1	15.04621	1.72845	0.79956	0.17371	10061
1054	1985	33.04	0	25.125	0	0.01	0	12	12	1985	0.09202	0.27238	0.7821	320.03394	220.23534	2.11	1	14.24249	0	1.09793	.	9624
1629	1984	7.95063	54.60933	2.77778	0.02963	0.04424	0.07178	12	9	1991	0.04025	0.26971	0.50503	85.98599	43.131	1.12	1	15.04621	15.04621	0.33691	1.2327	5231.25
1629	1985	10.69342	63.28374	7.11111	0.06519	0.04427	0.06192	12	9	1991	0.06591	0.29316	0.27838	94.39899	51.95039	0.9	1	14.24249	14.24249	0.71638	-0.04385	5233.5
1629	1986	13.56081	67.16677	7.66667	0.07778	0.04284	0.04437	12	9	1991	0.12671	0.24757	0.28431	121.67	71.1926	0.61	1	12.41634	12.41634	0.56359	-0.34385	5233.5
1629	1987	14.5358	57.6745	5.58333	0.06	0.0253	0.02727	12	9	1991	0.16338	0.13421	0.95552	156.709	182.83495	0.73	1	9.06488	9.06488	0.16403	0.47454	5371.5
1629	1988	16.16156	48.25464	9.25	0.1	0.02889	0.02472	12	9	1991	0.10239	0.16833	0.6769	236.48199	193.44086	0.87	1	6.25974	6.25974	0.40569	0.14671	8484
1629	1989	18.89046	37.68778	12.16667	0.08667	0.03414	0.02535	12	9	1991	0.08365	0.17933	0.62185	266.29199	214.86299	1.06	1	3.92211	3.92211	0.48304	0.22158	8530.5
1629	1990	21.51805	21.51805	16.91667	0.10667	0.04152	0.01964	12	9	1991	0.05469	0.18504	0.50318	275.45679	242.16934	1.26	1	1.74518	1.74518	0.59726	0.272	8550
1629	1991	24.5	0	24.5	0.16	0.0466	0.01952	12	9	1991	0.04027	0.11226	0.58146	290.53979	260.36304	0.3	1	0	0	0.81161	.	8625
1688	1963	17.2229	64.25284	19.5	0.9	0	0	12	38	1967	0.10096	0.23304	0.60656	365.3999	249.26654	1.09	1	84.52438	10.34264	1.34093	-0.10413	17141
1688	1964	18.00216	51.62059	18.25	0.9	0	0	12	38	1967	0.12649	0.22201	0.81103	405.89966	252.33047	1.06	1	82.47729	7.09865	1.24089	0.02426	17157
1688	1965	18.51974	36.22741	19.625	0.9	0	0	12	38	1967	0.07997	0.21569	0.82512	385.7998	243.53864	1.17	1	76.91865	4.15515	1.37111	-0.32643	17015
1688	1966	19.62289	19.62289	13.75	0.9	0	0	12	38	1967	0.08683	0.2106	0.77586	417.09985	253.22441	1.28	1	74.67365	1.80233	0.92391	0.42712	17015
1688	1967	20.875	0	20.875	0.9	0	0	12	38	1967	0.09306	0.20896	0.68594	467.19995	272.25146	1.37	1	63.76924	0	1.30463	.	17015
1723	1963	7.81103	39.74892	51.5	1	0.05142	0	7	21	1991	0.08799	0.43835	0.00861	184	81.82321	2.04	1	84.52438	84.52438	4.13897	-0.16569	6576
1723	1964	7.47661	35.08029	46	1.1	0.03697	0	7	21	1991	0.07628	0.39299	0.00507	244.7	112.74725	2.15	1	82.47729	82.47729	2.68296	-0.06848	6576
1723	1965	6.7395	29.31051	45.75	1.3	0.03483	0	7	21	1991	0.09433	0.39992	0.00241	269.09985	117.66943	2.31	1	76.91865	76.91865	3.1073	0.24301	7992
1723	1966	6.06142	24.8933	61.625	1.4	0.02763	0	7	21	1991	0.13678	0.42307	0.05126	327.09985	148.41695	3.33	1	74.67365	74.67365	3.3184	-0.10761	7992
1723	1967	5.1079	19.14923	59.625	1.4	0.02206	0	7	21	1991	0.13265	0.28334	0.0679	360	186.96222	2.37	1	63.76924	63.76924	2.54877	0.10647	7992
1723	1968	4.2412	15.17208	72.375	1.4	0.01975	0	7	21	1991	0.12811	0.2973	0.30019	378.69995	212.32423	2.99	1	59.25822	59.25822	2.73344	-0.19041	8019
1723	1969	3.16297	10.87069	64.5	1.4	0.01904	0	7	21	1991	0.08183	0.30285	0.37637	416.09985	224.6911	3.31	1	49.72082	49.72082	2.30366	-0.61675	8025
1723	1970	2.367	9.60561	26.875	1.4	0.01653	0	7	21	1991	0.08286	0.1645	0.45822	420.45776	264.70874	1.95	1	53.51015	53.51015	0.81485	0.20082	8026
1723	1971	1.89689	8.58065	35	0.8	0.01891	0	7	21	1991	0.08069	0.15547	0.42966	412.30493	235.60008	0.3	1	54.7737	54.7737	1.19395	0.28039	8037
1723	1972	1.48988	7.43356	48.75	0.6	0.01776	0	7	21	1991	0.0774	0.14995	0.38709	435.66992	253.31511	2.07	1	52.25176	52.25176	1.54671	-0.72242	8037
1723	1973	1.0009	5.84591	14.5	0.6	0.01481	0	7	21	1991	0.1233	0.09633	0.3172	489.84888	312.01489	0.55	1	44.97321	44.97321	0.3735	-0.63849	8037
1723	1974	0.65798	5.16238	5.5	0.45	0.01413	0	7	21	1991	0.10103	0.04428	0.3006	540.83276	347.06958	0.04	1	41.04197	41.04197	0.12736	0.10266	8037
1723	1975	0.7444	5.04378	6.875	0	0.01555	0	7	21	1991	0.08098	0.08036	0.28036	584.24585	334.21509	0.61	1	38.79783	38.79783	0.16537	0.26485	8039
1723	1976	0.8981	5.35636	9.75	0	0.01663	0	7	21	1991	0.0654	0.10102	0.2809	572.91992	319.48218	0.8	1	39.84019	39.84019	0.24537	0.22454	8040
1723	1977	0.86245	4.63728	13.125	0.1	0.01392	0	7	21	1991	0.08839	0.09006	0.28839	596.25	346.0979	-2.34	1	34.97024	34.97024	0.31631	0.65576	8341
1723	1978	0.7366	3.95957	24.375	0.2	0.02393	0.01772	7	21	1991	0.09016	0.17937	0.23842	666.60986	340.94434	2.54	1	30.62348	30.62348	0.59782	-0.42867	8362
1723	1979	0.52507	3.19612	16	0.28	0.03705	0.01972	7	21	1991	0.07387	0.1079	0.24034	754.48291	431.74927	1.38	1	25.91606	25.91606	0.31229	0.04404	8427
1723	1980	0.28454	2.5487	19.5	0.28	0.04122	0.02504	7	21	1991	0.05716	0.07727	0.23869	909.64697	500.83325	0.69	1	21.26068	21.26068	0.32927	-0.4647	8457
1723	1981	0.2269	2.26899	12.5	0.07	0.05147	0.02656	7	21	1991	0.08139	-0.04523	0.3402	652.71191	318.33423	-26.70999	1	17.92791	17.92791	0.40209	-0.92518	10240
1723	1982	0.3609	3.24809	1.125	0	0.01556	0.0226	7	21	1991	0.07892	-0.05735	0.03906	613.53491	270.7666	-8.11	1	19.94339	19.94339	0.04255	3.43555	10241
1723	1983	0.38602	3.08818	5.75	0	0.02169	0.02034	7	21	1991	0.0549	0.12299	0.05839	558.03882	232.86839	0.67	1	16.79115	16.79115	0.2529	-0.60832	10242
1723	1984	0.46656	3.26592	2.625	0	0.03507	0.02737	7	21	1991	0.07442	0.18171	0.05586	598.45093	206.71356	6.54	1	15.04621	15.04621	0.13006	0.31691	10242
1723	1985	0.63322	3.79933	4	0	0.0398	0	7	21	1991	0.0746	0.19803	0.1531	611.7439	202.83507	0.62	1	14.24249	14.24249	0.7946	0.42668	40293
1723	1986	0.80914	4.04572	6.5	0	0.01619	0	7	21	1991	0.01524	0.0592	0.58933	688.90991	687.67969	0.06	1	12.41634	12.41634	0.47727	0.11426	50494
1723	1987	0.87043	3.48171	8.125	0	0.03527	0	7	21	1991	0.03948	0.11523	0.56233	1162.7639	779.927	0.11	1	9.06488	9.06488	0.52889	-0.36332	50769
1723	1988	0.97363	2.9209	5.875	0	0.03643	0.02529	7	21	1991	0.03832	0.17625	0.43095	820.70898	351.36768	-0.53	1	6.25974	6.25974	0.86175	-0.22644	51539
1723	1989	1.14339	2.28678	5.25	0	0.03196	0.02444	7	21	1991	0.04117	0.17548	0.3683	850.57788	371.48291	0.47	1	3.92211	3.92211	0.72325	-0.64661	51176
1723	1990	1.30888	1.30888	2.125	0	0.03209	0.02238	7	21	1991	0.03344	0.06196	0.24831	876.54492	446.29858	-1	1	1.74518	1.74518	0.2269	-0.38405	47654
1723	1991	1.5	0	1.5	0	0.02335	0.01728	7	21	1991	0.01873	0.09848	0.31095	857.88599	375.15747	0.04	1	0	0	0.18719	.	46818
1907	1985	8.54849	51.29094	8.25	0	0.24836	0.12722	6	20	1991	0.13211	2.30324	0.00137	138.57599	20.23282	1.98	0	14.24249	14.24249	8.3565	-0.26837	20494
1907	1986	10.92345	54.61726	6.875	0	0.23368	0.16033	6	20	1991	0.17929	1.76646	0.00011	172.299	36.01955	2.34	0	12.41634	12.41634	4.35829	-0.07618	22834
1907	1987	11.75078	47.00313	7.125	0	0.17325	0.1341	6	20	1991	0.09754	0.67836	0	205.96199	64.16679	1.13	0	9.06488	9.06488	2.53279	-0.01135	22810
1907	1988	13.14407	39.4322	8	0	0.09904	0.08538	6	20	1991	0.09194	0.35514	0.54867	412.72095	158.44806	1.28	0	6.25974	6.25974	1.15823	-0.5266	22940
1907	1989	15.43576	30.87152	4.375	0	0.11245	0.10385	6	20	1991	0.07858	0.2334	0.71737	456.51978	150.67702	-0.64	0	3.92211	3.92211	0.67351	1.38224	23196
1907	1990	17.66993	17.66993	11.9375	0	0.1351	0.12092	6	20	1991	0.08167	0.69394	0.26764	533.81396	136.49622	2.86	0	1.74518	1.74518	2.07255	0.4802	23698
1907	1991	20.25	0	20.25	0	0.14037	0.1049	6	20	1991	0.04703	0.78098	0.20289	688.47681	189.83498	2.13	0	0	0	3.22447	.	30228
2280	1970	3.21628	27.44811	2.13017	0.13743	0	0	12	27	1979	0.05393	0.02794	0.5349	44.99599	47.45467	-10.57	1	53.51015	25.48713	0.08525	0.36672	1899.1404
2280	1971	3.76944	28.41254	3.22962	0	0	0.00564	12	27	1979	0.04716	0.05547	0.46093	40.396	39.69791	-1.26	1	54.7737	23.05629	0.16679	0.06265	2050.1257
2280	1972	4.14708	27.12996	3.77934	0	0	0.00629	12	27	1979	0.05525	0.07451	0.40762	41.99799	30.8396	0.51	1	52.25176	19.27009	0.25124	-0.67413	2050.1257
