year	emp	wage	cap	indoutpt	n	w	k	ys	id
1982	73.7	19.3873	20.3681	99.5083	4.300003	2.964618	3.01397	4.600241	5
1976	.748	23.1889	.1694	102.7724	-.2903523	3.143674	-1.775492	4.632517	6
1977	.766	20.5393	.1618	107.027	-.2665731	3.02234	-1.821394	4.673081	6
1978	.762	20.9387	.1499	108.6788	-.2718087	3.041599	-1.897787	4.688397	6
1979	.729	21.7626	.1458	111.119	-.3160816	3.080193	-1.925519	4.710602	6
1980	.731	23.4707	.1468	101.9265	-.3133418	3.155753	-1.918684	4.624252	6
1981	.779	24.1252	.1412	99.4971	-.2497443	3.183257	-1.957578	4.600129	6
1982	.782	25.2065	.1261	99.3103	-.2459005	3.227102	-2.07068	4.598249	6
1976	1.6	30.8513	.9934	104.7664	.4700036	3.429179	-.0066219	4.651733	7
1977	1.65	28.555	.933	107.4791	.5007753	3.351832	-.06935	4.677297	7
1978	1.68	29.8602	.965	108.9188	.5187938	3.396527	-.0356272	4.690603	7
1979	1.68	30.5894	.9629	111.5591	.5187938	3.420654	-.0378057	4.714554	7
1980	1.66	27.4886	.9224	100	.5068176	3.313771	-.0807763	4.60517	7
1981	1.56	31.4868	.9992	99.3965	.4446858	3.449568	-.0008003	4.599117	7
1982	1.54	32.0728	.8802	99.2931	.4317824	3.468008	-.1276061	4.598076	7
1976	9.145	30.9089	4.5486	104.7664	2.213207	3.431044	1.51482	4.651733	8
1977	10.855	24.4679	4.6194	107.4791	2.384626	3.197362	1.530265	4.677297	8
1978	10.749	28.0558	5.0373	108.9188	2.374813	3.334195	1.61687	4.690603	8
1979	10.959	28.7445	4.8748	111.5591	2.394161	3.358446	1.584079	4.714554	8
1980	10.698	28.4854	3.2221	100	2.370057	3.349392	1.170033	4.60517	8
1981	8.174	31.7356	2.8343	99.3965	2.100958	3.457439	1.041795	4.599117	8
1982	4.701	29.8963	1.7506	99.2931	1.547775	3.397735	.5599586	4.598076	8
1976	2.006	26.0825	.3824	102.7724	.6961427	3.261265	-.9612881	4.632517	9
1977	2.656	21.9545	.4551	107.027	.9768212	3.088972	-.7872381	4.673081	9
1978	2.712	22.81	.4529	108.6788	.9976863	3.127199	-.7920839	4.688397	9
1979	2.744	23.372	.4524	111.119	1.009417	3.151539	-.7931885	4.710602	9
1980	2.757	23.0737	.4676	101.9265	1.014143	3.138693	-.7601421	4.624252	9
1981	2.849	24.3044	.481	99.4971	1.046968	3.190657	-.731888	4.600129	9
1982	2.752	26.8984	.4753	99.3103	1.012328	3.292067	-.743809	4.598249	9
1976	3.823	23.3533	1.1293	95.3657	1.341035	3.150738	.121598	4.557719	10
1977	3.935	21.3251	1.0143	96.7315	1.369911	3.059885	.0141987	4.571939	10
1978	3.528	20.9319	1.1169	99.2333	1.260731	3.041274	.110557	4.597474	10
1979	3.52	20.4536	1.1626	100.7335	1.258461	3.018159	.1506589	4.612478	10
1980	3.467	23.4946	1.0827	100	1.24329	3.156771	.0794579	4.60517	10
1981	3.09	25.9553	1.0636	98.2324	1.128171	3.256376	.0616593	4.587336	10
1982	3.262	26.0361	1.0958	99.7635	1.182341	3.259484	.0914847	4.602802	10
1976	1.359	23.0614	.4099	104.7664	.3067491	3.13816	-.891842	4.651733	11
1977	1.346	20.2275	.5741	107.4791	.2971372	3.007043	-.5549517	4.677297	11
1978	1.338	22.1435	.5563	108.9188	.291176	3.097544	-.5864476	4.690603	11
1979	1.353	22.5496	.5145	111.5591	.3023244	3.115717	-.6645597	4.714554	11
1980	1.264	22.5875	.5895	100	.2342813	3.117397	-.5284805	4.60517	11
1981	1.158	25.9585	.4847	99.3965	.1466944	3.256499	-.7242252	4.599117	11
1982	1.175	24.0345	.4359	99.2931	.1612681	3.17949	-.8303424	4.598076	11
1976	1.78	34.2991	.2569	104.7664	.5766134	3.535119	-1.359068	4.651733	12
1977	1.643	30.3979	.2072	107.4791	.4965239	3.414373	-1.574071	4.677297	12
1978	1.39	31.1431	.1999	108.9188	.3293037	3.438593	-1.609938	4.690603	12
1979	1.35	33.3105	.2007	111.5591	.3001046	3.505873	-1.605944	4.714554	12
1980	1.082	30.2147	.1473	100	.0788112	3.408329	-1.915284	4.60517	12
1981	.78	29.7414	.1158	99.3965	-.2484614	3.39254	-2.155891	4.599117	12
1982	.68	31.1235	.1036	99.2931	-.3856625	3.437963	-2.267218	4.598076	12
1976	2.353	22.3833	.5785	125.8064	.8556911	3.108315	-.5473168	4.834744	13
1977	2.386	23.0607	.5613	127.9649	.8696183	3.13813	-.5774998	4.851756	13
1978	2.375	23.4931	.5273	125.4294	.8649974	3.156707	-.6399856	4.831743	13
1979	2.415	26.0042	.518	125.0259	.8816993	3.258258	-.6577801	4.828521	13
1980	2.266	24.1671	.4608	106.3044	.8180162	3.184992	-.7747912	4.666306	13
1981	1.777	26.0573	.375	98.0729	.5749265	3.260298	-.9808292	4.585711	13
1982	1.537	28.7064	.3147	96.8674	.4298324	3.35712	-1.156135	4.573343	13
1978	3.165	20.9113	.3902	127.3866	1.152153	3.04029	-.9410959	4.847227	14
1979	3.096	21.8887	.4311	124.6424	1.130111	3.085971	-.8414152	4.825449	14
1980	2.991	23.701	.4228	118.9132	1.095608	3.165517	-.860856	4.778394	14
1981	2.692	21.3925	.381	99.3576	.9902844	3.06304	-.9649559	4.598725	14
1982	2.175	25.5237	.3051	97.2428	.7770286	3.239608	-1.187116	4.577211	14
1983	1.801	25.7211	.2041	97.1944	.5883421	3.247312	-1.589145	4.576713	14
1984	1.428	25.6452	.1685	99.9862	.3562748	3.244356	-1.78082	4.605032	14
1977	7.22	22.5898	1.8498	105.3355	1.976855	3.117498	.6150775	4.657151	15
1978	7.321	22.0549	1.9215	108.1833	1.990747	3.093535	.6531061	4.683827	15
1979	7.097	22.2902	2.1855	110.6984	1.959672	3.104147	.7818446	4.70681	15
1980	7.201	20.6808	2.4345	105.9673	1.97422	3.029206	.8897414	4.663131	15
1981	6.602	21.6151	2.1255	96.5931	1.887373	3.073392	.754007	4.570508	15
1982	5.311	23.1551	1.5594	92.0013	1.66978	3.142215	.4443011	4.521803	15
1983	5.394	25.0999	1.3576	92.2488	1.685287	3.222864	.3057184	4.524489	15
1976	2.757	29.3517	.9175	116.4	1.014143	3.37935	-.0861027	4.757032	16
1977	2.632	27.0686	.8613	115.7	.967744	3.298374	-.1493124	4.751	16
1978	2.647	27.2752	.8519	112.8	.9734269	3.305978	-.1602862	4.725616	16
1979	2.687	26.6444	.5277	108.9	.9884253	3.282579	-.6392273	4.69043	16
1980	2.417	25.3591	.5262	100	.8825271	3.233138	-.6420739	4.60517	16
1981	2.218	25.2731	.566	89.2	.7966059	3.229741	-.5691612	4.490881	16
1982	2.106	27.4446	.5112	90.5	.7447904	3.312169	-.6709943	4.50535	16
1977	1.09	23.9352	.1282	127.164	.0861777	3.17535	-2.054164	4.845478	17
1978	1.144	22.6139	.1393	127.3866	.1345309	3.118565	-1.971125	4.847227	17
1979	1.195	23.0801	.1795	124.6424	.1781462	3.138971	-1.71758	4.825449	17
1980	1.259	25.0346	.1835	118.9132	.2303177	3.220259	-1.695541	4.778394	17
1981	1.319	24.2587	.1731	99.3576	.2768739	3.188775	-1.753886	4.598725	17
1982	1.188	28.4659	.1471	97.2428	.1722712	3.348707	-1.916643	4.577211	17
1983	1.163	29.4594	.1246	97.1944	.1510029	3.383013	-2.082647	4.576713	17
1977	7.407	29.9689	1.1694	116.225	2.002425	3.40016	.1564908	4.755528	18
1978	7.392	26.2611	1.2643	114.975	2.000398	3.268089	.2345186	4.744715	18
1979	7.198	25.7528	1.3536	111.825	1.973803	3.248543	.3027677	4.716935	18
1980	6.872	24.3198	1.5672	106.675	1.927455	3.191291	.4492905	4.669787	18
1981	6.131	24.3181	1.3429	97.3	1.813358	3.191221	.2948315	4.577799	18
1982	5.785	26.5473	1.1385	89.525	1.755268	3.278928	.1297116	4.494518	18
1983	5.487	26.593	.9603	89.6	1.702382	3.280648	-.0405095	4.495355	18
1976	23.531	34.0204	5.4762	116.4	3.158319	3.52696	1.700411	4.757032	19
1977	22.521	30.3191	5.0656	115.7	3.114448	3.411778	1.622473	4.751	19
1978	21.866	29.192	5.0976	112.8	3.084933	3.373895	1.62877	4.725616	19
1979	21.067	28.6365	5.7196	108.9	3.047708	3.354682	1.743899	4.69043	19
1980	19.238	29.7144	4.9972	100	2.956887	3.391632	1.608878	4.60517	19
1981	16.248	31.3375	4.6639	89.2	2.78797	3.444815	1.539852	4.490881	19
1982	14.928	33.8528	4.1429	90.5	2.703239	3.522022	1.421396	4.50535	19
1977	1.053	28.045	.1386	116.225	.0516432	3.33381	-1.976163	4.755528	20
1978	1.117	26.5632	.1606	114.975	.1106465	3.279527	-1.828838	4.744715	20
1979	1.125	25.6042	.1695	111.825	.117783	3.242756	-1.774902	4.716935	20
1980	1.04	25.6604	.2401	106.675	.0392207	3.244949	-1.4267	4.669787	20
1981	.995	25.49	.2132	97.3	-.0050125	3.238286	-1.545525	4.577799	20
1982	.923	25.537	.2017	89.525	-.0801261	3.240129	-1.600974	4.494518	20
1983	.908	26.4244	.1876	89.6	-.0965109	3.274288	-1.673443	4.495355	20
1977	1.991	29.687	.4291	116.225	.6886371	3.390709	-.8460653	4.755528	21
1978	2.671	28.1284	.5378	114.975	.9824529	3.33678	-.6202685	4.744715	21
1979	2.937	26.5734	.5692	111.825	1.077389	3.279911	-.5635235	4.716935	21
1980	3.015	25.5461	.6575	106.675	1.1036	3.240485	-.4193105	4.669787	21
1981	2.701	25.4198	.5972	97.3	.9936221	3.235528	-.5155032	4.577799	21
1982	1.817	27.2402	.4934	89.525	.5971868	3.304694	-.7064351	4.494518	21
1983	1.631	28.7047	.4042	89.6	.4891934	3.357061	-.9058455	4.495355	21
1976	1.4	28.5597	.1816	116.4	.3364722	3.351997	-1.705949	4.757032	22
1977	1.453	25.0015	.1834	115.7	.3736303	3.218936	-1.696086	4.751	22
1978	1.525	23.4358	.1812	112.8	.4219944	3.154265	-1.708154	4.725616	22
1979	1.559	23.1202	.1997	108.9	.4440446	3.140707	-1.610939	4.69043	22
1980	1.548	23.26	.1858	100	.4369638	3.146735	-1.683084	4.60517	22
1981	1.339	20.0583	.1511	89.2	.291923	2.998643	-1.889813	4.490881	22
1982	1.031	21.1449	.132	90.5	.0305292	3.051399	-2.024953	4.50535	22
1976	10.555	32.507	1.3305	116.4	2.3566	3.481456	.2855548	4.757032	23
1977	10.095	28.9027	1.3557	115.7	2.31204	3.363935	.304318	4.751	23
1978	8.9	26.8583	1.5965	112.8	2.186051	3.290575	.4678138	4.725616	23
1979	8.539	27.1607	1.2885	108.9	2.144644	3.301771	.2534787	4.69043	23
1980	6.448	28.3155	1.1389	100	1.86377	3.343409	.1300629	4.60517	23
1981	5.405	26.8969	.8784	89.2	1.687325	3.292011	-.1296532	4.490881	23
1982	4.709	29.2119	.7637	90.5	1.549476	3.374576	-.2695802	4.50535	23
1976	1.674	27.5898	.3863	116.4	.515216	3.317446	-.951141	4.757032	24
1977	1.78	24.6386	.4104	115.7	.5766134	3.204314	-.890623	4.751	24
1978	1.817	23.6386	.4936	112.8	.5971868	3.162881	-.7060298	4.725616	24
1979	1.795	23.5118	.4908	108.9	.585005	3.157502	-.7117186	4.69043	24
1980	1.715	23.6963	.4465	100	.5394131	3.165319	-.8063159	4.60517	24
1981	1.295	22.0786	.3412	89.2	.2585106	3.094609	-1.075287	4.490881	24
1982	1.208	28.1139	.3157	90.5	.1889661	3.336264	-1.152963	4.50535	24
1976	.772	34.4998	.0616	116.4	-.2587707	3.540954	-2.787093	4.757032	25
1977	.788	30.2071	.0636	115.7	-.2382572	3.408077	-2.755142	4.751	25
1978	.82	29.8638	.0704	112.8	-.198451	3.396647	-2.653562	4.725616	25
1979	.821	28.6675	.0958	108.9	-.1972322	3.355764	-2.345493	4.69043	25
1980	.828	27.4259	.0843	100	-.1887421	3.311488	-2.473373	4.60517	25
1981	.811	23.2424	.068	89.2	-.2094872	3.145978	-2.688247	4.490881	25
1982	.742	27.2418	.057	90.5	-.2984061	3.304753	-2.864704	4.50535	25
1976	3.086	29.152	.5028	116.4	1.126876	3.372524	-.6875628	4.757032	26
1977	3.301	26.4332	.5462	115.7	1.194225	3.274621	-.6047701	4.751	26
1978	3.379	26.1043	.604	112.8	1.21758	3.2621	-.5041811	4.725616	26
1979	3.319	24.9252	.5589	108.9	1.199664	3.215879	-.5817847	4.69043	26
1980	3.134	25.3077	.5895	100	1.14231	3.231109	-.5284805	4.60517	26
1981	2.71	26.4595	.4755	89.2	.9969487	3.275615	-.7433884	4.490881	26
1982	2.505	27.2863	.5437	90.5	.9182888	3.306385	-.6093577	4.50535	26
1978	6.575	25.9762	1.7454	112.8	1.883275	3.257181	.5569837	4.725616	27
1979	6.377	25.728	1.8971	108.9	1.852698	3.24758	.6403264	4.69043	27
1980	5.752	26.0471	1.6784	100	1.749548	3.259907	.517841	4.60517	27
1981	4.87	25.9297	1.5909	89.2	1.583094	3.255389	.4642999	4.490881	27
1982	4.405	27.8164	1.4754	90.5	1.48274	3.325626	.3889291	4.50535	27
1983	7.334	19.2866	1.439	86.9	1.992521	2.959411	.3639484	4.464758	27
1984	7.145	32.0388	1.4052	87.4	1.966413	3.466948	.3401797	4.470495	27
1977	.619	13.2329	.0336	93.95	-.47965	2.582706	-3.393229	4.542763	28
1978	.726	13.6601	.0395	98.2	-.3202052	2.614479	-3.231455	4.587006	28
1979	.773	14.4508	.0437	102.5667	-.2574762	2.67075	-3.130407	4.630513	28
1980	.709	14.4125	.0574	102.0167	-.3438998	2.668096	-2.857711	4.625136	28
1981	.651	15.0915	.0543	99.4917	-.4292456	2.714132	-2.913231	4.600074	28
1982	.521	16.3744	.0442	94.2583	-.6520052	2.795719	-3.11903	4.546039	28
1983	.497	17.1372	.0396	99.0583	-.6991652	2.841252	-3.228926	4.595708	28
1977	1.11	28.0152	.1242	95.7	.10436	3.332747	-2.085862	4.561218	29
1978	1.139	28.0714	.1394	100.2	.1301507	3.334751	-1.970408	4.607168	29
1979	1.196	28.7446	.1649	102.4	.1789826	3.35845	-1.802416	4.628887	29
1980	1.236	29.1317	.1593	101.1	.2118803	3.371827	-1.836966	4.61611	29
1981	1.054	29.6307	.1407	96.95	.0525925	3.388811	-1.961125	4.574195	29
1982	.939	30.7194	.1376	96.05	-.0629398	3.424894	-1.983404	4.564869	29
1983	.911	33.2514	.1401	103.35	-.0932124	3.504097	-1.965399	4.638121	29
1976	1.129	31.7723	.1638	116.4	.1213322	3.458595	-1.809109	4.757032	30
1977	1.181	26.8608	.1738	115.7	.1663615	3.290668	-1.74985	4.751	30
1978	1.176	26.1009	.2073	112.8	.1621189	3.26197	-1.573588	4.725616	30
1979	1.189	27.5408	.2105	108.9	.1731126	3.315669	-1.55827	4.69043	30
1980	1.149	27.2342	.2121	100	.138892	3.304473	-1.550697	4.60517	30
1981	.957	24.6643	.1859	89.2	-.0439519	3.205357	-1.682546	4.490881	30
1982	.891	24.8081	.1848	90.5	-.1154109	3.21117	-1.688481	4.50535	30
1976	1.791	23.3024	.1785	104.7664	.5827741	3.148556	-1.723167	4.651733	31
1977	1.805	20.9296	.2442	107.4791	.5905606	3.041164	-1.409768	4.677297	31
1978	2.063	21.8553	.3335	108.9188	.7241612	3.084444	-1.098112	4.690603	31
1979	1.984	23.4757	.3181	111.5591	.685115	3.155966	-1.145389	4.714554	31
1980	1.558	24.9199	.2745	100	.4434029	3.215667	-1.292804	4.60517	31
1981	1.285	28.0984	.2482	99.3965	.2507587	3.335713	-1.39352	4.599117	31
1982	1.111	27.6983	.1758	99.2931	.1052605	3.321371	-1.738408	4.598076	31
1977	1.771	21.1881	.1732	96.05	.5715443	3.05344	-1.753308	4.564869	32
1978	1.788	21.0368	.1729	100.6	.5810977	3.046273	-1.755042	4.611152	32
1979	1.861	21.0111	.1613	102.3667	.621114	3.045051	-1.824489	4.628561	32
1980	1.864	21.0794	.1458	100.9167	.6227247	3.048296	-1.925519	4.614295	32
1981	1.664	18.8949	.1178	96.4417	.5092244	2.938892	-2.138767	4.568939	32
1982	1.511	20.6339	.1035	96.4083	.4127717	3.026935	-2.268184	4.568593	32
1983	1.496	23.1065	.098	104.2083	.4027949	3.140114	-2.322788	4.646392	32
1976	13.329	24.3753	1.887	93.6	2.589942	3.19357	.6349882	4.539031	33
1977	13.509	23.4904	1.8247	97.8	2.603356	3.156592	.6014156	4.582925	33
1978	13.452	23.4155	1.9656	102.6	2.599128	3.153398	.6757975	4.630838	33
1979	11.751	22.737	1.8738	102.2	2.463938	3.123994	.6279685	4.626932	33
1980	10.706	24.2665	1.6481	100	2.370804	3.189097	.4996231	4.60517	33
1981	8.821	31.679	1.342	93.9	2.177135	3.455654	.2941611	4.542231	33
1982	6.283	25.0406	1.0611	98.2	1.837848	3.220499	.0593061	4.587006	33
1977	1.215	15.1847	.1112	95.7	.1947441	2.720288	-2.196425	4.561218	34
1978	1.306	15.1559	.1202	100.2	.266969	2.71839	-2.118598	4.607168	34
1979	1.391	16.907	.1244	102.4	.3300229	2.827728	-2.084253	4.628887	34
1980	1.407	16.7456	.1321	101.1	.3414598	2.818135	-2.024196	4.61611	34
1981	1.156	16.7556	.111	96.95	.1449658	2.818733	-2.198225	4.574195	34
1982	1.194	17.185	.0977	96.05	.177309	2.844037	-2.325854	4.564869	34
1983	1.351	17.8622	.0956	103.35	.300845	2.882687	-2.347582	4.638121	34
1977	5.373	25.7228	1.8317	94.65	1.681386	3.247378	.6052445	4.550186	35
1978	5.865	24.8794	2.109	99	1.769002	3.21404	.7462139	4.59512	35
1979	6.066	28.1491	2.2152	102.5	1.802699	3.337515	.7953427	4.629863	35
1980	6.724	28.7078	2.2333	101.65	1.905683	3.357169	.8034803	4.621536	35
1981	14.135	29.0655	4.3328	98.475	2.648654	3.369552	1.466214	4.589803	35
1982	12.662	30.8473	4.4295	94.975	2.538605	3.429049	1.488287	4.553614	35
1983	12.201	32.2958	4.5582	100.775	2.501518	3.474937	1.516928	4.61289	35
1976	.471	24.0031	.1125	93.6	-.7528972	3.178183	-2.184802	4.539031	36
1977	.478	23.1216	.1313	97.8	-.7381446	3.140767	-2.030271	4.582925	36
1978	.442	23.6967	.1466	102.6	-.8164454	3.165336	-1.920048	4.630838	36
1979	.451	23.3783	.174	102.2	-.796288	3.151808	-1.7487	4.626932	36
1980	.411	23.3951	.1927	100	-.889162	3.152527	-1.646621	4.60517	36
1981	.386	23.8803	.1712	93.9	-.9519179	3.173054	-1.764923	4.542231	36
1982	.36	22.9678	.1538	98.2	-1.021651	3.134093	-1.872102	4.587006	36
1977	14.4	32.2197	1.6371	116.225	2.667228	3.472578	.4929264	4.755528	37
1978	14.719	31.0016	1.5893	114.975	2.689139	3.434039	.4632937	4.744715	37
1979	14.437	32.0146	1.748	111.825	2.669794	3.466192	.5584723	4.716935	37
1980	13.436	29.8912	1.7775	106.675	2.597938	3.397564	.5752079	4.669787	37
1981	11.697	30.1672	2.1308	97.3	2.459332	3.406755	.7564975	4.577799	37
1982	10.04	32.0464	2.2534	89.525	2.306577	3.467185	.8124402	4.494518	37
1983	9.087	36.2481	2.1304	89.6	2.206845	3.590387	.7563097	4.495355	37
1976	7.458	26.4115	2.0862	106.1747	2.009287	3.2738	.7353442	4.665086	38
1977	7.88	22.8421	2.0624	108.9675	2.064328	3.128605	.7238704	4.69105	38
1978	8.255	22.4106	2.2518	107.8624	2.110819	3.109534	.8117299	4.680856	38
1979	8.162	25.4637	2.3904	104.5668	2.099489	3.237254	.8714607	4.649826	38
1980	7.452	27.4089	2.0259	100	2.008482	3.310868	.706014	4.60517	38
1981	5.933	27.7596	1.39	92.743	1.78053	3.323582	.3293037	4.529832	38
1982	5.038	27.7857	1.3926	90.0386	1.617009	3.324522	.3311726	4.500238	38
1977	1.484	31.7102	.2337	116.225	.3947411	3.456638	-1.453717	4.755528	39
1978	1.551	26.5752	.2939	114.975	.4388999	3.279979	-1.224516	4.744715	39
1979	1.556	25.7082	.3448	111.825	.4421184	3.24681	-1.064791	4.716935	39
1980	1.625	27.4095	.3461	106.675	.4855078	3.31089	-1.061028	4.669787	39
1981	1.407	27.8052	.2998	97.3	.3414598	3.325223	-1.20464	4.577799	39
1982	.814	27.4953	.2066	89.525	-.2057949	3.314015	-1.576971	4.494518	39
1983	.699	29.1183	.1742	89.6	-.3581045	3.371367	-1.747551	4.495355	39
1976	13.163	26.1228	1.6686	106.5556	2.57741	3.262809	.5119849	4.668667	40
1977	12.894	23.8501	1.6615	108.2693	2.556762	3.171788	.5077208	4.684622	40
1978	12.169	23.3762	1.6321	108.1387	2.498892	3.151718	.4898675	4.683414	40
1979	12.38	24.3961	1.6012	105.3907	2.516082	3.194423	.4707533	4.657674	40
1980	12.662	27.2358	1.9253	101.1417	2.538605	3.304532	.6550818	4.616522	40
1981	12.736	28.7736	1.8217	94.5573	2.544433	3.359458	.5997701	4.549206	40
1982	12.195	28.9251	1.6871	90.7147	2.501026	3.36471	.5230111	4.50772	40
1977	12.429	28.0721	1.39	116.225	2.520032	3.334776	.3293037	4.755528	41
1978	14.234	25.7457	1.5624	114.975	2.655633	3.248268	.4462231	4.744715	41
1979	14.737	25.4566	1.9237	111.825	2.690361	3.236975	.6542504	4.716935	41
1980	14.829	26.225	2.2251	106.675	2.696585	3.266713	.7998019	4.669787	41
1981	14.911	26.9355	2.2782	97.3	2.702099	3.293445	.8233856	4.577799	41
1982	13.824	27.9656	2.2106	89.525	2.626406	3.330975	.7932639	4.494518	41
1983	13.126	29.7914	2.163	89.6	2.574595	3.39422	.7714962	4.495355	41
1976	1.228	24.006	.2832	106.1747	.2053869	3.178304	-1.261602	4.665086	42
1977	1.805	23.3602	.2926	108.9675	.5905606	3.151034	-1.228949	4.69105	42
1978	1.723	21.2242	.3002	107.8624	.544067	3.055142	-1.203306	4.680856	42
1979	1.779	22.4842	.3269	104.5668	.5760514	3.112813	-1.118101	4.649826	42
1980	1.314	24.015	.2698	100	.2730759	3.178679	-1.310074	4.60517	42
1981	.699	22.7356	.1839	92.743	-.3581045	3.123932	-1.693363	4.529832	42
1982	.606	24.7679	.1295	90.0386	-.5008753	3.209548	-2.044074	4.500238	42
1977	12.072	18.727	2.3629	127.164	2.490889	2.929966	.8598897	4.845478	43
1978	17.859	15.7567	2.4417	127.3866	2.882508	2.757266	.8926945	4.847227	43
1979	17.699	16.1252	2.3225	124.6424	2.873508	2.780383	.8426442	4.825449	43
1980	17.919	16.6001	2.2545	118.9132	2.885862	2.809409	.8129282	4.778394	43
1981	10.983	24.5008	2.3284	99.3576	2.396349	3.198706	.8451813	4.598725	43
1982	9.882	28.2184	2.0258	97.2428	2.290715	3.339974	.7059647	4.577211	43
1983	8.941	29.1313	1.8637	97.1944	2.190647	3.371813	.6225638	4.576713	43
1977	.781	23.7287	.2424	116.225	-.2471801	3.166685	-1.417166	4.755528	44
1978	.84	21.9247	.2341	114.975	-.1743534	3.087614	-1.452007	4.744715	44
1979	.881	21.6863	.258	111.825	-.1266977	3.076681	-1.354796	4.716935	44
1980	.865	20.9797	.2378	106.675	-.1450258	3.043555	-1.436325	4.669787	44
1981	.711	20.5714	.2024	97.3	-.3410828	3.023902	-1.597509	4.577799	44
1982	.589	22.011	.1717	89.525	-.5293291	3.091542	-1.762007	4.494518	44
1983	.756	23.7079	.1697	89.6	-.2797139	3.165808	-1.773723	4.495355	44
1977	32.29	24.8594	11.4903	127.164	3.474758	3.213236	2.441503	4.845478	45
1978	33.916	25.7804	11.571	127.3866	3.523887	3.249614	2.448502	4.847227	45
1979	34.389	26.4298	12.8854	124.6424	3.537737	3.274492	2.556095	4.825449	45
1980	33.348	29.2707	13.173	118.9132	3.506998	3.376587	2.578169	4.778394	45
1981	31.034	28.0546	11.6649	99.3576	3.435083	3.334153	2.456584	4.598725	45
1982	26.226	32.1654	10.877	97.2428	3.266751	3.470891	2.386651	4.577211	45
1983	24.379	32.5037	10.1733	97.1944	3.193722	3.481354	2.319767	4.576713	45
1976	2.971	19.5527	1.0241	126.7636	1.088899	2.973113	.0238141	4.842324	46
1977	3.065	19.2621	.9267	128.3653	1.120048	2.958139	-.0761254	4.85488	46
1978	3.03	18.7115	.9068	124.4507	1.108563	2.929138	-.0978334	4.82391	46
1979	2.96	21.9029	.9192	125.2176	1.085189	3.086619	-.0842515	4.830053	46
1980	2.557	19.7124	.8632	100	.9388347	2.981248	-.1471089	4.60517	46
1981	2.266	23.8853	.8505	97.4305	.8180162	3.173263	-.1619309	4.579139	46
1982	2.168	26.3392	.7995	96.6797	.7738051	3.271058	-.2237688	4.571404	46
1976	2.426	27.3671	.5259	116.4	.8862439	3.309342	-.6426442	4.757032	47
1977	2.142	25.9189	.4055	115.7	.76174	3.254972	-.9026344	4.751	47
